company,state,postcode,phone,address
DEPHON INDUSTRIES (M) SDN BHD,Johor,83000,"07-4311311, 0165247883","NO.6, LOT 21229, BATU 3, JALAN MINYAK BEKU,"
AM ALL TECHNOLOGY SDN. BHD.,Selangor,41200,0126868247,"No. 18, Jalan Permata 8A/KS09 Taman Perindustrian Air Hitam KM 11, Jalan Klang Banting,"
TAG BIOTECHNOLOGY SDN. BHD.,Selangor,47600,0380247628,"NO. 37 & 39, JALAN USJ 1/31 USJ 1, TAMAN SUBANG PERMAI"
PRODUCT MANUFACTURING SDN BHD,W.P. Kuala Lumpur,52000,603-62528298,"LOT PT 31-A1,JLN 5/32A, INDUSTRIAL AREA, 6 1/2 MILES, JLN KEPONG"
SHVETA LABS (M) SDN. BHD.,W.P. Kuala Lumpur,56000,+60129007789,"No. 10, JALAN DAMAI PUSPA 2, ALAM DAMAI,"
MYBH MANUFACTURING RESOURCES,Kedah,08700,044644168,"NO 19 & 20, KAWASAN INDUSTRI RINGAN KEDA JENIANG"
Desaku Trading,Selangor,45200,0332248721,"No. 1, 2 & 3 Bangunan IKS, Taman Sri Nakhoda, Bagan Nakhoda Omar"
Everfresh Premium Sdn. Bhd.,Kedah,09600,044846688,"1100A, Jalan Makmur 6/7, TAMAN MAKMUR"
Q SECRET COSMECEUTICAL SDN. BHD.,Johor,84000,0173721008,"NO. 13, 15 & 17, JALAN PERNIAGAAN MERAH, PUSAT PERNIAGAAN MAS MERAH,"
J.B. PHARMACY GROUP SDN. BHD.,Kedah,05400,04-7713086,"623, KAWASAN PERUSAHAAN TANDOP BARU"
OTC COSMETIC INDUSTRIES SDN. BHD.,Selangor,45620,0361564661,"NO. 3, JALAN INDUSTRI BUKIT BADONG 3, TAMAN INDUSTRI BUKIT BADONG"
TCT NUTRACEUTICALS SDN BHD,Selangor,47130,0383228683,"NO. 13 JALAN PP11/3 ALAM PERDANA INDUSTRIAL PARK, TAMAN PUTRA PERDANA"
SHE NATURAL LAB SDN BHD,Johor,81100,0127132170,"No. 28-01 & 28-02, Jalan Seri Austin 3/55 Taman Seri Austin"
ABAM PEAH HOLDINGS SDN. BHD.,Kelantan,15000,097432716,PT 454 TINGKAT BAWAH KG SIREH (lembah sireh) jalan sultanah zainab
Trinity Care Manufacturing Sdn.Bhd.,W.P. Kuala Lumpur,51200,0127901969,"Binova Industrial Centre , B1-6, No.1, Jalan 2/57B Jalan Raja Arfah, Kawasan Perusahaan Segambut 51200 Kuala Lumpur"
DK BIOTECH MANUFACTURING SDN. BHD.,Selangor,40150,0378465219,"No. 25, 27, 29, Jalan Marikh U5/175, Bandar Pinggiran Subang,"
VEE-MAN MANUFACTURER SDN BHD,Selangor,47500,0356129999,"NO. 35, JALAN PJS 11/22 BANDAR SUNWAY"
INTAN BIOTECH INDUSTRIES SDN BHD,Kelantan,16100,+60129704010,"PT 2442 KAWASAN PERINDUSTRIAN PENGKALAN CHEPA II,"
INFINITE OPPORTUNITIES SDN BHD,Selangor,42100,0126303513,"PT 73595, JALAN HARMONI 23/KU3, SUNGAI PINANG"
WLT MARKETING SDN. BHD.,Johor,81100,075550110,NO.3 JALAN EKOPERNIAGAAN 1/22 TAMAN EKOPERNIAGAAN
Achima Skincare Sdn Bhd,Selangor,43300,03-89644299,"NO.69, JALAN TAMING 6, TAMAN TAMING JAYA,"
LUNACARE SDN BHD,Pulau Pinang,13800,0169214938,"no 9, lorong industri sungai lokan 1 taman industri sungai lokan"
NVL NATURAL BIOTECH,Selangor,42500,"0330813953, 0183115418,","NO.8 JALAN RAJAWALI 5, KAWASAN PERUSAHAAN KEBUN BARU,"
WOLECO HOTEL SUPPLIES SDN BHD,Johor,81800,0167892990,"NO. 40, JALAN ISTIMEWA 5 KAWASAN PERINDUSTRIAN CEMERLANG"
THP MEDICAL SDN. BHD.,Pulau Pinang,14100,043313472,"LOT PT 1281 (PLOT 308), JALAN PERINDUSTRIAN BUKIT MINYAK 18, KAWASAN PERINDUSTRIAN BUKIT MINYAK,"
KIND COSMECEUTICALS SDN. BHD.,Johor,79200,075853965,"19, JALAN SILC 2/19 KAWASAN PERINDUSTRIAN SILC"
OUJI SEKKEN MANUFACTURING (M) SDN. BHD.,Negeri Sembilan,71800,0132845263,LOT 759 (B) NILAI INDUSTRIAL ESTATE
BEAURICO MANUFACTURING SDN. BHD.,Selangor,43000,03-89129338,"NO. 32 JALAN SC4, PUSAT PERINDUSTRIAN SUNGAI CHUA"
PERNIAGAAN ORANG KAMPUNG SDN. BHD.,Melaka,77300,06-2636200,"J-7017 & 7018, KAWASAN PERINDUSTRIAN MERLIMAU"
JARDIN MANUFACTURING SDN. BHD.,Terengganu,23000,,"Lot 1, 2, 3 & 4, KAWASAN INDUSTRI BATU 7"
ETHYE SDN. BHD.,W.P. Kuala Lumpur,56000,0391712811,"20, JALAN 6/118B DESA TUN RAZAK"
TRUE DERMA LAB SDN. BHD.,W.P. Kuala Lumpur,52100,0362625028,"644, Taman Perindustrian Ehsan Jaya,"
TOTALITY COSMECEUTICAL INDUSTRY SDN. BHD.,W.P. Kuala Lumpur,52100,0362779636,"No. 251, Jalan 5, Taman Perindustrian Ehsan Jaya,"
MEDIFUSION SOLUTION SDN. BHD.,Selangor,47600,03-80206070,"NO. 8 & 10, JALAN INDUSTRI 1/14, TAMAN PERINDUSTRIAN USJ 1,"
APEX PHARMACY MARKETING SDN. BHD.,Selangor,47500,03-56293696,"No.2, JALAN SS 13/5"
KCK PHARMACEUTICAL INDUSTRIES SDN. BHD.,Pulau Pinang,11960,604-6430766,NO. 5 & 7 HALA BERINGIN  DIAMOND VALLEY INDUSTRIAL PARK
NUVOLABZ SDN. BHD.,Johor,86000,0193308322,NO. 67 JALAN TASIK INDAH 1/4 TAMAN TASIK INDAH
OLUMES SDN. BHD.,Selangor,43300,0389640393,"No 79, jalan taming 7, taming jaya industrial park"
PEOPLE & GLOBAL SDN BHD,Selangor,43300,03-89613818,"NO. 5 & 7, JALAN TAMING TIGA, TAMAN TAMING JAYA"
CHEM MERAKI NATURA SDN. BHD.,Selangor,43200,0127200665,"NO. 15, JALAN CJ 1/6A, KAWASAN PERINDUSTRIAN CHERAS JAYA"
STRATA PRO SDN. BHD.,Selangor,47301,0122159188/0163365733,"E-01-01, BLOCK E, PLAZA KELANA JAYA JALAN SS7 / 13A"
KCK PHARMACEUTICAL INDUSTRIES SDN. BHD.,Pulau Pinang,11960,04-6440767 / 04-6266588,"no. 5 & 7 HALA BERINGIN, DIAMOND VALLEY INDUSTRIAL PARK"
LONG YEN SDN. BHD.,Selangor,42500,0196688250,"NO. 36-G, JALAN MELOR 7 KAWASAN PERUSAHAAN BATU 10"
WAWA MANUFACTURING SDN.BHD.,Selangor,43650,013 2269038,"NO.7, JALAN P/8, SEKSYEN 13, KAWASAN PERINDUSTRIAN MIEL BANGI"
ESSENCEPRO SDN. BHD.,Selangor,40150,0108888915,"NO. 23, JALAN APOLLO U5/187, BANDAR PINGGIRAN SUBANG, SEKSYEN U5"
HYGR SDN. BHD.,Selangor,40150,0124076446,"Unit 18, Jalan Pengacara U1/48 Temasya Industrial Park"
Zelcos Laboratory Sdn Bhd,Pulau Pinang,13600,043989013,"ZELCOS LABORATORY SDN BHD NO. 1, LORONG NAGASARI 11, TAMAN NAGASARI"
D EMBUN PAGI SDN. BHD.,Kedah,08000,0182444476,"LOT H-04, KEDAH HALAL PARK FASA 2, LOT 5 KWSN PERINDUSTRIAN SUNGAI PETANI,"
SURCHEMIST COSMETIC SCIENCE SDN. BHD.,Negeri Sembilan,70300,0176213372,193 Jalan S2 C9 Green Technology Park S2
NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),W.P. Kuala Lumpur,56000,03-91715329,"NO. 78, JALAN KILANG MIDAH TAMAN MIDAH"
SOAPWORKS PLT,Negeri Sembilan,73000,0126723817,3849 taman seri mutiara tampin
NORTH WEST ENTERPRISE SDN. BHD.,,,,NO 5 JALAN PEGUAM U1/25
HMF INTERNATIONAL SDN. BHD.,Perak,31400,055492637,"LOT 39, MEDAN TASEK, KAWASAN PERINDUSTRIAN TASEK,"
SKINLAB BIOCHEM RESOURCES (M) SDN. BHD.,Johor,81100,0127123166,"NO 5, JALAN EKOPERNIAGAAN 2/5, TAMAN EKOPERNIAGAAN"
MAYTECK LIFE INDUSTRIES SDN. BHD.,Johor,84700,06-9727668,"PTD 11682, KAWASAN PERINDUSTRIAN GRISEK, GRISEK, TANGKAK"
ELYSS GROUP HOLDINGS SDN. BHD.,Kedah,05150,0177373724,lot 92 no 102 jalan timur 6 jalan lencong barat  6/1 MERGONG BARRAGE 05150 ALOR SETAR KEDAH
DRSA MANUFACTURING SDN. BHD.,Kedah,05400,017-5076516,"NO.48, JLN SUNGAI KOROK KOMPLEKS SUKAN MUAZZAM SHAH"
MENTALITE PERSONAL CARE SDN. BHD.,Melaka,75260,01110514898,"99 & 99-1, JALAN KP1, TAMAN KRUBONG PERDANA,"
CHEMIST FACTORY SDN. BHD.,Selangor,42100,018-2560746,NO 43 Lorong Sungai Puloh 10/KU6 KAWASAN PERINDUSTRIAN SUNGAI PULOH
HMF INTERNATIONAL SDN. BHD.,Perak,31400,055492637,"LOT 39, MEDAN TASEK, KAWASAN PERINDUSTRIAN TASEK,"
Giovan Resources Sdn Bhd,Selangor,48000,0362776262,NO 9 JALAN STR 2 SAUJANA TEKNOLOGI RAWANG
DASC GROUP SDN. BHD.,Selangor,43300,0182190102,NO 18 Jalan 1/5 Taman Industri Jaya
ACE COMPOUNDING SDN. BHD.,Selangor,63000,0386882228,"No.2-2D, Aras 2, Bio-X Centre, Persiaran Cyber Point Selatan, Cyber 8,"
AXIOMA BIOTECH SDN. BHD.,Selangor,47100,0162629393,"14, Jalan Tpk 1/2, Taman Perindustrian Kinrara"
RPD Sdn. Bhd.,Selangor,41050,0192819381,"15, Jalan Astana 1C, Gateway 16 Industrial Park, Bandar Bukit Raja"
MUTIARA BIOHERB INDUSTRY SDN. BHD.,Kelantan,18500,0146518312,"LOT 5883 & 5884, JALAN KOTA BHARU"
BESTPERFUME SDN. BHD.,Selangor,47500,0185708401,"No.6, Jalan SS 13/3C, Subang Jaya Industrial Estate"
TCT AEROSOL (MALAYSIA) SDN. BHD.,Selangor,47130,0383228683,"NO. 2, JALAN PP 11/5, ALAM PERDANA INDUSTRIAL PARK,  TAMAN PUTRA PERDANA"
Green Herbology Sdn Bhd,Selangor,47100,0162254815,"25, Jalan Utama 1/15, Taman Perindustrian Puchong Utama, 47100 Puchong Selangor."
MYS BEAUTY COSMETICS SDN. BHD.,Kedah,08000,0125908699,"NO.58, LORONG SAGA 1/4, KAWASAN PERUSAHAAN SAGA,"
TIGER BALM (M) SDN. BHD.,Johor,81400,,"NO. 53, JALAN I-PARK SAC 7, TAMAN PERINDUSTRIAN I-PARK SAC,"
TCT NUTRACEUTICALS SDN BHD,Selangor,47130,0383228683,"NO. 13, JALAN PP 11/3 ALAM PERDANA INDUSTRIAL PARK, TAMAN PUTRA PERDANA"
NEO BIO INFINITE SDN. BHD.,Selangor,40150,0377343389,"25, JALAN DELTA U6/18 TAMAN PERINDUSTRIAN SUNWAY SUBANG"
BLANCO FRAGRANCE MALAYSIA SDN. BHD.,Selangor,68100,0194644912,NO 6 JALAN BCU3 KAWASAN PERINDUSTRIAN BATU CAVES UTARA BATU CAVES
SVN HERBAL SDN. BHD.,Pulau Pinang,14300,052151616,"No. 11A, 15, & 17, JALAN PERINDUSTRIAN NIBONG TEBAL 1, TAMAN PERINDUSTRIAN NIBONG TEBAL"
AESTECH PRO SDN BHD,Johor,84000,0127257835,"NO. 29 & 31, JALAN TANJUNG 1 TAMAN PERINDUSTRIAN SERI TANJUNG PARIT BAKAR"
RED TREE SDN.BHD.,Kedah,09600,042936278,"70 JALAN SAUJANA 3, TAMAN INDUSTRI SAUJANA & SAUJANA INDAH"
BIOCOSLAB MANUFACTURING SDN. BHD.,Selangor,47130,0124609993,"NO. 5, JALAN TPP 12 TAMAN PERINDUSTRIAN PUTRA"
QUALITY HERO CORPORATION SDN. BHD.,Johor,81200,07-2170550,"Quality hero corporation sdn bhd no 9, jalan taruka tampoi industrial estate"
LIFE SUCCESS PLT,Kelantan,16100,0197507710,"LOT 3352-A/PT 2524A, KOMPLEKS MAKANAN HALAL PKINK KAWASAN PERINDUSTRIAN PENGKALAN CHEPA II PENGKALAN CHEPA"
Yakin Biolab Sdn. Bhd.,Selangor,43300,0389645311,"No. 1, Jalan P8, Perdana 8, Kawasan Perindustrian Kampung Baru Balakong"
Q & Z COSMETICS MANUFACTURING SDN. BHD.,Selangor,47180,0380759898,"No. 16, JALAN BK 1/11 Bandar kinrara"
MAXCOS MANUFACTURING SDN BHD,Selangor,47120,010-2266 713,"17, Jalan mj 17, taman industri meranti jaya"
SPARKE LABS SDN. BHD.,Selangor,47301,0374971614,No. 17 & 15 Jalan SS 25/41
VEE-MAN MANUFACTURER SDN BHD,Selangor,43500,60356129999,"NO. 2, JALAN BESI 1/2 kAMPUNG SUNGAI PURUN"
DERMAC INDUSTRIES SDN. BHD.,W.P. Kuala Lumpur,58200,0169961255,No 8 & 8-1 JAlan awan makmur 1 taman oug square
BEAURICO MANUFACTURING SDN. BHD.,Selangor,43650,0129239297,"NO 10, HUB PERINDUSTRIAN SUNTRACK OFF, JALAN P1A, SEKSYEN 13 BANDAR BARU BANGI, SELANGOR"
CORELUMEN SDN. BHD.,Selangor,40150,0126008628,"26, JALAN APOLLO U5/193, SEKSYEN U5"
RUZA RESOURCES MANUFACTURING SDN BHD,Kedah,09000,044909986,"338a,339a,340a,341a,342a,343a,344a,345a,346a,347a,348a & lOT 1407-1410, JALAN SERI PETALING 9, TAMAN SERI PETALING"
OLIVE ESSENTIAL SDN. BHD.,Selangor,43200,0166217600,"NO. 39, JALAN MAS JAYA 2 KAWASAN PERINDUSTRIAN MAS JAYA"
